tube_index,R,G,B,hex,region_method,flags,Al_concentration_ppm
1,67,16,10,#43100a,auto-detected,none,0.0
2,129,73,58,#81493a,auto-detected,none,10.0
3,89,127,101,#597f65,auto-detected,none,20.0
4,81,127,105,#517f69,auto-detected,none,30.0
5,84,131,110,#54836e,auto-detected,none,40.0
6,81,128,108,#51806c,auto-detected,none,50.0
7,72,127,109,#487f6d,auto-detected,none,60.0
8,68,131,117,#448375,auto-detected,none,70.0
9,59,126,117,#3b7e75,auto-detected,none,80.0
10,54,135,130,#368782,auto-detected,none,90.0
11,46,132,131,#2e8483,auto-detected,none,100.0
12,33,133,136,#218588,auto-detected,none,110.0
13,30,137,141,#1e898d,auto-detected,none,120.0
14,38,141,147,#268d93,auto-detected,none,130.0
15,41,150,155,#29969b,auto-detected,none,140.0
16,40,158,163,#289ea3,auto-detected,none,150.0
 
