tube_index,R,G,B,hex,region_method,flags,Mn_concentration_ppm
1,179,177,144,#b3b190,auto-detected,none,0.0
2,185,171,133,#b9ab85,auto-detected,none,10.0
3,191,171,134,#bfab86,auto-detected,none,20.0
4,195,169,133,#c3a985,auto-detected,none,30.0
5,184,156,120,#b89c78,auto-detected,none,40.0
6,193,163,120,#c1a378,auto-detected,none,50.0
7,205,162,102,#cda266,auto-detected,none,60.0
8,206,165,96,#cea560,auto-detected,none,70.0
9,202,152,89,#ca9859,auto-detected,none,80.0
10,203,147,77,#cb934d,auto-detected,none,90.0
11,192,137,77,#c0894d,auto-detected,none,100.0
12,173,105,63,#ad693f,auto-detected,none,110.0
13,155,76,45,#9b4c2d,auto-detected,none,120.0
